NE|Interface|Status|Protocol|Description
BEL1NA|BE1|up|up|Enlace 20G a BEL-SE-1
BEL1NA|BE1.100|up|up|CONEXION CDN ANEVIA - MGMT
BEL1NA|BE1.102|admin-down|admin-down|VPNGESTION-EDGE-CABLE(linea15007536)Gest.Cable.(ExCDN)
BEL1NA|BE1.103|admin-down|admin-down|VPNGESTION-EDGE-ANEVIA(linea15007536)Gest.Cable.(ExCDN)
BEL1NA|BE1.104|admin-down|admin-down|VPNGESTION-EDGE-CABLE(linea15007731)Gest.Cable.(ExCDN)
BEL1NA|BE1.105|admin-down|admin-down|VPNGESTION-EDGE-ANEVIA(linea15007731)Gest.Cable.(ExCDN)
BEL1NA|BE1.200|admin-down|admin-down|CONEXION CDN ANEVIA - STREAMER BELGRANO OUT
BEL1NA|BE2|down|down|Enlace 60G a FACEBOOK (Linea: 2810585, 2810587, 2810586, 2810588, 2814431, 2814432) FB:BR02
BEL1NA|BE3|admin-down|admin-down|PEERING 200G a FACEBOOK (Linea: 2836783 y 2840048) FB:BR04
BEL1NA|BE4|up|up|TRK:ENLACE:ROA1.CEN1 (xe-9/2/1) - Linea: 15019352
BEL1NA|BE10|down|down|A BELGGC1SA Port-Channel 10
BEL1NA|BE20|admin-down|admin-down|A BELGGC1SA Port-Channel 20
BEL1NA|BE20.200|admin-down|admin-down|VLAN GESTION DE BELGGC1SA POR BEL1NA (En PO17 a MUN1NA)
BEL1NA|BE30|admin-down|admin-down|Enlace 300G A CABLEVISION - PEERING NACIONAL - REFE 672262
BEL1NA|BE50|down|down|PEERING_NACIONAL_CV_200GB
BEL1NA|BE100|up|up|A BELCDN01 Agrupa Hu0/13/0/4 y Hu
BEL1NA|BE101|up|up|A BELCDN02 Agrupa Hu0/13/0/5 y Hu
BEL1NA|BE102|up|up|A MUNCDN01 Agrupa Hu0/13/0/7
BEL1NA|BE103|up|up|A MUNCDN02 Agrupa Hu0/14/0/7 y Hu0/5/0/1
BEL1NA|BE104|up|up|A BELCDN03 Agrupa Hu0/13/0/6 Hu0/14/0/6 Hu0/15/0/6
BEL1NA|BE106|up|up|CNX:ENLACE:IC1.HOR1 (Hu0/9/0/6 + Hu0/15/0/2 + Hu0/15/0/3 + Hu0/15/0/4 + Hu0/15/0/5)
BEL1NA|BE107|up|up|CNX:ENLACE:IC1.HOR1 (Hu0/17/0/2 + Hu0/17/0/3 + Hu0/17/0/4 + Hu0/17/0/5 + Hu0/17/0/6)
BEL1NA|Lo0|up|up| 
BEL1NA|Lo1|up|up|AREA 1 - OSPF
BEL1NA|Lo2|up|up|AREA 2 OSPF
BEL1NA|Lo3|up|up|loopback Area 3
BEL1NA|Lo15|up|up|AREA15 - OSPF
BEL1NA|Lo16|up|up|loopback Area 16
BEL1NA|Lo26|up|up| 
BEL1NA|Lo32|up|up| 
BEL1NA|Lo33|up|up| 
BEL1NA|Lo45|up|up|loopback Area 45
BEL1NA|Lo63|up|up|AREA63 - OSPF
BEL1NA|Lo64|up|up|AREA 64 - OSPF
BEL1NA|Lo65|up|up|AREA 65 - OSPF
BEL1NA|Lo68|up|up|AREA68 - OSPF
BEL1NA|Lo69|up|up|AREA 69 - OSPF
BEL1NA|Lo71|up|up|AREA 71 - OSPF
BEL1NA|Lo72|up|up|AREA 72 - OSPF
BEL1NA|Lo75|up|up|AREA 75 - OSPF
BEL1NA|Lo94|up|up|Loopback Area 94
BEL1NA|Lo158|up|up|AREA158 - OSPF
BEL1NA|Lo159|up|up|AREA 159 - OSPF
BEL1NA|Lo161|up|up|AREA 161 - OSPF TNN1MU
BEL1NA|Lo333|up|up|test2
BEL1NA|Nu0|up|up| 
BEL1NA|Mg0/RP0/CPU0/0|admin-down|admin-down| 
BEL1NA|Mg0/RP0/CPU0/1|admin-down|admin-down| 
BEL1NA|PT0/RP0/CPU0/0|admin-down|admin-down| 
BEL1NA|Mg0/RP1/CPU0/0|admin-down|admin-down| 
BEL1NA|Mg0/RP1/CPU0/1|admin-down|admin-down| 
BEL1NA|Hu0/1/0/0|up|up|Enlace 100G NN A MUN1PR Hu0/1/0/3 (Linea:15004634) - UPLINK BBIP
BEL1NA|Hu0/1/0/1|up|up|Enlace 100G NN A BEL1MB Hu0/4/0/0 (Linea:15004651) - UPLINK BBIP
BEL1NA|Hu0/1/0/2|up|up|ENLACE 100G A MUN1NA Hu 0/1/0/2 (Linea:15008595) - UPLINK BBIP
